ensembl_gene_id	external_gene_name	description	gene_biotype
ENSG00000147027	TMEM47	transmembrane protein 47 	protein_coding
ENSG00000147036	LANCL3	LanC like family member 3 	protein_coding
ENSG00000147041	SYTL5	synaptotagmin like 5 	protein_coding
ENSG00000147044	CASK	calcium/calmodulin dependent serine protein kinase 	protein_coding
ENSG00000147050	KDM6A	lysine demethylase 6A 	protein_coding
ENSG00000147059	SPIN2A	spindlin family member 2A 	protein_coding
ENSG00000147065	MSN	moesin 	protein_coding
ENSG00000147081	AKAP4	A-kinase anchoring protein 4 	protein_coding
ENSG00000147082	CCNB3	cyclin B3 	protein_coding
ENSG00000147099	HDAC8	histone deacetylase 8 	protein_coding
ENSG00000147100	SLC16A2	solute carrier family 16 member 2 	protein_coding
ENSG00000147113	DIPK2B	divergent protein kinase domain 2B 	protein_coding
ENSG00000147117	ZNF157	zinc finger protein 157 	protein_coding
ENSG00000147118	ZNF182	zinc finger protein 182 	protein_coding
ENSG00000147119	CHST7	carbohydrate sulfotransferase 7 	protein_coding
ENSG00000147121	KRABD4	KRAB domain containing 4 	protein_coding
ENSG00000147123	NDUFB11	NADH:ubiquinone oxidoreductase subunit B11 	protein_coding
ENSG00000147124	ZNF41	zinc finger protein 41 	protein_coding
ENSG00000147127	RAB41	RAB41, member RAS oncogene family 	protein_coding
ENSG00000147130	ZMYM3	zinc finger MYM-type containing 3 	protein_coding
ENSG00000147133	TAF1	TATA-box binding protein associated factor 1 	protein_coding
ENSG00000147138	GPR174	G protein-coupled receptor 174 	protein_coding
ENSG00000147140	NONO	non-POU domain containing octamer binding 	protein_coding
ENSG00000147144	CCDC120	coiled-coil domain containing 120 	protein_coding
ENSG00000147145	LPAR4	lysophosphatidic acid receptor 4 	protein_coding
ENSG00000147155	EBP	EBP cholestenol delta-isomerase 	protein_coding
ENSG00000147160	AWAT2	acyl-CoA wax alcohol acyltransferase 2 	protein_coding
ENSG00000147162	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase 	protein_coding
ENSG00000147164	SNX12	sorting nexin 12 	protein_coding
ENSG00000147166	ITGB1BP2	integrin subunit beta 1 binding protein 2 	protein_coding
ENSG00000147168	IL2RG	interleukin 2 receptor subunit gamma 	protein_coding
ENSG00000147174	GCNA	germ cell nuclear acidic peptidase 	protein_coding
ENSG00000147180	ZNF711	zinc finger protein 711 	protein_coding
ENSG00000147183	CPXCR1	CPX chromosome region candidate 1 	protein_coding
ENSG00000147202	DIAPH2	diaphanous related formin 2 	protein_coding
ENSG00000147206	NXF3	nuclear RNA export factor 3 	protein_coding
ENSG00000147223	RIPPLY1	ripply transcriptional repressor 1 	protein_coding
ENSG00000147224	PRPS1	phosphoribosyl pyrophosphate synthetase 1 	protein_coding
ENSG00000147231	RADX	RPA1 related single stranded DNA binding protein, X-linked 	protein_coding
ENSG00000147234	FRMPD3	FERM and PDZ domain containing 3 	protein_coding
ENSG00000147246	HTR2C	5-hydroxytryptamine receptor 2C 	protein_coding
ENSG00000147251	DOCK11	dedicator of cytokinesis 11 	protein_coding
ENSG00000147255	IGSF1	immunoglobulin superfamily member 1 	protein_coding
ENSG00000147256	ARHGAP36	Rho GTPase activating protein 36 	protein_coding
ENSG00000147257	GPC3	glypican 3 	protein_coding
ENSG00000147262	GPR119	G protein-coupled receptor 119 	protein_coding
ENSG00000147274	RBMX	RNA binding motif protein X-linked 	protein_coding
ENSG00000147316	MCPH1	microcephalin 1 	protein_coding
ENSG00000147324	MFHAS1	multifunctional ROCO family signaling regulator 1 	protein_coding
ENSG00000147364	FBXO25	F-box protein 25 	protein_coding
ENSG00000147378	FATE1	fetal and adult testis expressed 1 	protein_coding
ENSG00000147381	MAGEA4	MAGE family member A4 	protein_coding
ENSG00000147383	NSDHL	NAD(P) dependent 3-beta-hydroxysteroid dehydrogenase NSDHL 	protein_coding
ENSG00000147394	ZNF185	zinc finger protein 185 with LIM domain 	protein_coding
ENSG00000147400	CETN2	centrin 2 	protein_coding
ENSG00000147403	RPL10	ribosomal protein L10 	protein_coding
ENSG00000147408	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1 	protein_coding
ENSG00000147416	ATP6V1B2	ATPase H+ transporting V1 subunit B2 	protein_coding
ENSG00000147419	CCDC25	coiled-coil domain containing 25 	protein_coding
ENSG00000147421	HMBOX1	homeobox containing 1 	protein_coding
ENSG00000147432	CHRNB3	cholinergic receptor nicotinic beta 3 subunit 	protein_coding
ENSG00000147434	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit 	protein_coding
ENSG00000147437	GNRH1	gonadotropin releasing hormone 1 	protein_coding
ENSG00000147439	BIN3	bridging integrator 3 	protein_coding
ENSG00000147443	DOK2	docking protein 2 	protein_coding
ENSG00000147454	SLC25A37	solute carrier family 25 member 37 	protein_coding
ENSG00000147457	CHMP7	charged multivesicular body protein 7 	protein_coding
ENSG00000147459	DOCK5	dedicator of cytokinesis 5 	protein_coding
ENSG00000147465	STAR	steroidogenic acute regulatory protein 	protein_coding
ENSG00000147471	PLPBP	pyridoxal phosphate binding protein 	protein_coding
ENSG00000147475	ERLIN2	ER lipid raft associated 2 	protein_coding
ENSG00000147481	SNTG1	syntrophin gamma 1 	protein_coding
ENSG00000147485	PXDNL	peroxidasin like 	protein_coding
ENSG00000147488	ST18	ST18 C2H2C-type zinc finger transcription factor 	protein_coding
ENSG00000147509	RGS20	regulator of G protein signaling 20 	protein_coding
ENSG00000147526	TACC1	transforming acidic coiled-coil containing protein 1 	protein_coding
ENSG00000147533	GOLGA7	golgin A7 	protein_coding
ENSG00000147535	PLPP5	phospholipid phosphatase 5 	protein_coding
ENSG00000147536	GINS4	GINS complex subunit 4 	protein_coding
ENSG00000147548	NSD3	nuclear receptor binding SET domain protein 3 	protein_coding
ENSG00000147570	DNAJC5B	DnaJ heat shock protein family (Hsp40) member C5 beta 	protein_coding
ENSG00000147571	CRH	corticotropin releasing hormone 	protein_coding
ENSG00000147573	TRIM55	tripartite motif containing 55 	protein_coding
ENSG00000147576	ADHFE1	alcohol dehydrogenase iron containing 1 	protein_coding
ENSG00000147586	MRPS28	mitochondrial ribosomal protein S28 	protein_coding
ENSG00000147588	PMP2	peripheral myelin protein 2 	protein_coding
ENSG00000147592	LACTB2	lactamase beta 2 	protein_coding
ENSG00000147596	PRDM14	PR/SET domain 14 	protein_coding
ENSG00000147601	TERF1	telomeric repeat binding factor 1 	protein_coding
ENSG00000147604	RPL7	ribosomal protein L7 	protein_coding
ENSG00000147606	SLC26A7	solute carrier family 26 member 7 	protein_coding
ENSG00000147613	PSKH2	protein serine kinase H2 	protein_coding
ENSG00000147614	ATP6V0D2	ATPase H+ transporting V0 subunit d2 	protein_coding
ENSG00000147642	SYBU	syntabulin 	protein_coding
ENSG00000147647	DPYS	dihydropyrimidinase 	protein_coding
ENSG00000147649	MTDH	metadherin 	protein_coding
ENSG00000147650	LRP12	LDL receptor related protein 12 	protein_coding
ENSG00000147654	EBAG9	estrogen receptor binding site associated antigen 9 	protein_coding
ENSG00000147655	RSPO2	R-spondin 2 	protein_coding
ENSG00000147669	POLR2K	RNA polymerase II, I and III subunit K 	protein_coding
ENSG00000147676	MAL2	mal, T cell differentiation protein 2 	protein_coding
ENSG00000147677	EIF3H	eukaryotic translation initiation factor 3 subunit H 	protein_coding
ENSG00000147679	UTP23	UTP23 small subunit processome component 	protein_coding
ENSG00000147684	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 	protein_coding
ENSG00000147687	TATDN1	TatD DNase domain containing 1 	protein_coding
ENSG00000147689	FAM83A	family with sequence similarity 83 member A 	protein_coding
ENSG00000147697	GSDMC	gasdermin C 	protein_coding
ENSG00000147724	FAM135B	family with sequence similarity 135 member B 	protein_coding
ENSG00000147753	TTTY7	testis expressed transcript, Y-linked 7 	lncRNA
ENSG00000147761	TTTY7B	testis expressed transcript, Y-linked 7B 	lncRNA
ENSG00000147789	ZNF7	zinc finger protein 7 	protein_coding
ENSG00000147799	ARHGAP39	Rho GTPase activating protein 39 	protein_coding
ENSG00000147804	SLC39A4	solute carrier family 39 member 4 	protein_coding
ENSG00000147813	NAPRT	nicotinate phosphoribosyltransferase 	protein_coding
ENSG00000147852	VLDLR	very low density lipoprotein receptor 	protein_coding
ENSG00000147853	AK3	adenylate kinase 3 	protein_coding
ENSG00000147854	UHRF2	ubiquitin like with PHD and ring finger domains 2 	protein_coding
ENSG00000147862	NFIB	nuclear factor I B 	protein_coding
ENSG00000147869	CER1	cerberus 1, DAN family BMP antagonist 	protein_coding
ENSG00000147872	PLIN2	perilipin 2 	protein_coding
ENSG00000147873	IFNA5	interferon alpha 5 	protein_coding
ENSG00000147874	HAUS6	HAUS augmin like complex subunit 6 	protein_coding
ENSG00000147883	CDKN2B	cyclin dependent kinase inhibitor 2B 	protein_coding
ENSG00000147885	IFNA16	interferon alpha 16 	protein_coding
ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A 	protein_coding
ENSG00000147894	C9orf72	C9orf72-SMCR8 complex subunit 	protein_coding
ENSG00000147896	IFNK	interferon kappa 	protein_coding
ENSG00000147905	ZCCHC7	zinc finger CCHC-type containing 7 	protein_coding
ENSG00000147912	FBXO10	F-box protein 10 	protein_coding
ENSG00000147955	SIGMAR1	sigma non-opioid intracellular receptor 1 	protein_coding
ENSG00000147996	ZNG1E	Zn regulated GTPase metalloprotein activator 1E 	protein_coding
ENSG00000148019	CEP78	centrosomal protein 78 	protein_coding
ENSG00000148053	NTRK2	neurotrophic receptor tyrosine kinase 2 	protein_coding
ENSG00000148057	IDNK	IDNK gluconokinase 	protein_coding
ENSG00000148082	SHC3	SHC adaptor protein 3 	protein_coding
ENSG00000148090	AUH	AU RNA binding methylglutaconyl-CoA hydratase 	protein_coding
ENSG00000148110	SLC71A2	solute carrier family 71 member 2 	protein_coding
ENSG00000148120	AOPEP	aminopeptidase O (putative) 	protein_coding
ENSG00000148123	PLPPR1	phospholipid phosphatase related 1 	protein_coding
ENSG00000148136	OR13C4	olfactory receptor family 13 subfamily C member 4 	protein_coding
ENSG00000148143	ZNF462	zinc finger protein 462 	protein_coding
ENSG00000148153	INIP	INTS3 and NABP interacting protein 	protein_coding
ENSG00000148154	UGCG	UDP-glucose ceramide glucosyltransferase 	protein_coding
ENSG00000148156	ACTL7B	actin like 7B 	protein_coding
ENSG00000148158	SNX30	sorting nexin family member 30 	protein_coding
ENSG00000148175	STOM	stomatin 	protein_coding
ENSG00000148180	GSN	gelsolin 	protein_coding
ENSG00000148187	MRRF	mitochondrial ribosome recycling factor 	protein_coding
ENSG00000148200	NR6A1	nuclear receptor subfamily 6 group A member 1 	protein_coding
ENSG00000148204	CRB2	crumbs cell polarity complex component 2 	protein_coding
ENSG00000148215	OR5C1	olfactory receptor family 5 subfamily C member 1 	protein_coding
ENSG00000148218	ALAD	aminolevulinate dehydratase 	protein_coding
ENSG00000148219	ASTN2	astrotactin 2 	protein_coding
ENSG00000148225	WDR31	WD repeat domain 31 	protein_coding
ENSG00000148229	POLE3	DNA polymerase epsilon 3, accessory subunit 	protein_coding
ENSG00000148248	SURF4	surfeit 4 	protein_coding
ENSG00000148288	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group) 	protein_coding
ENSG00000148290	SURF1	SURF1 cytochrome c oxidase assembly factor 	protein_coding
ENSG00000148291	SURF2	surfeit 2 	protein_coding
ENSG00000148296	SURF6	surfeit 6 	protein_coding
ENSG00000148297	MED22	mediator complex subunit 22 	protein_coding
ENSG00000148300	REXO4	REX4 homolog, 3'-5' exonuclease 	protein_coding
ENSG00000148303	RPL7A	ribosomal protein L7a 	protein_coding
ENSG00000148308	GTF3C5	general transcription factor IIIC subunit 5 	protein_coding
ENSG00000148331	ASB6	ankyrin repeat and SOCS box containing 6 	protein_coding
ENSG00000148334	PTGES2	prostaglandin E synthase 2 	protein_coding
ENSG00000148335	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1 	protein_coding
ENSG00000148337	CIZ1	CDKN1A interacting zinc finger protein 1 	protein_coding
ENSG00000148339	SLC25A25	solute carrier family 25 member 25 	protein_coding
ENSG00000148341	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2 	protein_coding
ENSG00000148343	MIGA2	mitoguardin 2 	protein_coding
ENSG00000148344	PTGES	prostaglandin E synthase 	protein_coding
ENSG00000148346	LCN2	lipocalin 2 	protein_coding
ENSG00000148356	LRSAM1	leucine rich repeat and sterile alpha motif containing 1 	protein_coding
ENSG00000148357	HMCN2	hemicentin 2 	protein_coding
ENSG00000148358	GPR107	G protein-coupled receptor 107 	protein_coding
ENSG00000148377	IDI2	isopentenyl-diphosphate delta isomerase 2 	protein_coding
ENSG00000148384	INPP5E	inositol polyphosphate-5-phosphatase E 	protein_coding
ENSG00000148386	LCN9	lipocalin 9 	protein_coding
ENSG00000148396	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor 	protein_coding
ENSG00000148399	DPH7	diphthamide biosynthesis 7 	protein_coding
ENSG00000148400	NOTCH1	notch receptor 1 	protein_coding
ENSG00000148408	CACNA1B	calcium voltage-gated channel subunit alpha1 B 	protein_coding
ENSG00000148411	NACC2	NACC family member 2 	protein_coding
ENSG00000148426	PROSER2	proline and serine rich 2 	protein_coding
ENSG00000148429	USP6NL	USP6 N-terminal like 	protein_coding
ENSG00000148444	COMMD3	COMM domain containing 3 	protein_coding
ENSG00000148450	MSRB2	methionine sulfoxide reductase B2 	protein_coding
ENSG00000148459	PDSS1	decaprenyl diphosphate synthase subunit 1 	protein_coding
ENSG00000148468	FAM171A1	family with sequence similarity 171 member A1 	protein_coding
ENSG00000148481	MINDY3	MINDY lysine 48 deubiquitinase 3 	protein_coding
ENSG00000148482	SLC39A12	solute carrier family 39 member 12 	protein_coding
ENSG00000148483	TMEM236	transmembrane protein 236 	protein_coding
ENSG00000148484	RSU1	Ras suppressor protein 1 	protein_coding
ENSG00000148488	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 	protein_coding
ENSG00000148498	PARD3	par-3 family cell polarity regulator 	protein_coding
ENSG00000148513	ANKRD30A	ankyrin repeat domain 30A 	protein_coding
ENSG00000148516	ZEB1	zinc finger E-box binding homeobox 1 	protein_coding
ENSG00000148541	FAM13C	family with sequence similarity 13 member C 	protein_coding
ENSG00000148572	NRBF2	nuclear receptor binding factor 2 	protein_coding
ENSG00000148584	A1CF	APOBEC1 complementation factor 	protein_coding
ENSG00000148600	CDHR1	cadherin related family member 1 	protein_coding
ENSG00000148602	LRIT1	leucine rich repeat, Ig-like and transmembrane domains 1 	protein_coding
ENSG00000148604	RGR	retinal G protein coupled receptor 	protein_coding
ENSG00000148606	POLR3A	RNA polymerase III subunit A 	protein_coding
ENSG00000148634	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4 	protein_coding
ENSG00000148655	LRMDA	leucine rich melanocyte differentiation associated 	protein_coding
ENSG00000148660	CAMK2G	calcium/calmodulin dependent protein kinase II gamma 	protein_coding
ENSG00000148671	ADIRF	adipogenesis regulatory factor 	protein_coding
ENSG00000148672	GLUD1	glutamate dehydrogenase 1 	protein_coding
ENSG00000148677	ANKRD1	ankyrin repeat domain 1 	protein_coding
ENSG00000148680	HTR7	5-hydroxytryptamine receptor 7 	protein_coding
ENSG00000148688	RPP30	ribonuclease P/MRP subunit p30 	protein_coding
ENSG00000148690	FRA10AC1	FRA10A associated CGG repeat 1 	protein_coding
ENSG00000148700	ADD3	adducin 3 	protein_coding
ENSG00000148702	HABP2	hyaluronan binding protein 2 	protein_coding
ENSG00000148704	VAX1	ventral anterior homeobox 1 	protein_coding
ENSG00000148719	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12 	protein_coding
ENSG00000148730	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2 	protein_coding
ENSG00000148734	NPFFR1	neuropeptide FF receptor 1 	protein_coding
ENSG00000148735	PLEKHS1	pleckstrin homology domain containing S1 	protein_coding
ENSG00000148737	TCF7L2	transcription factor 7 like 2 	protein_coding
ENSG00000148773	MKI67	marker of proliferation Ki-67 	protein_coding
ENSG00000148795	CYP17A1	cytochrome P450 family 17 subfamily A member 1 	protein_coding
ENSG00000148798	INA	internexin neuronal intermediate filament protein alpha 	protein_coding
ENSG00000148803	FUOM	fucose mutarotase 	protein_coding
ENSG00000148814	LRRC27	leucine rich repeat containing 27 	protein_coding
ENSG00000148824	MTG1	mitochondrial ribosome associated GTPase 1 	protein_coding
ENSG00000148826	NKX6-2	NK6 homeobox 2 	protein_coding
ENSG00000148832	PAOX	polyamine oxidase 	protein_coding
ENSG00000148834	GSTO1	glutathione S-transferase omega 1 	protein_coding
ENSG00000148835	TAF5	TATA-box binding protein associated factor 5 	protein_coding
ENSG00000148840	PPRC1	PPARG related coactivator 1 	protein_coding
ENSG00000148841	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein 	protein_coding
ENSG00000148842	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2 	protein_coding
ENSG00000148843	PDCD11	programmed cell death 11 	protein_coding
ENSG00000148848	ADAM12	ADAM metallopeptidase domain 12 	protein_coding
ENSG00000148908	RGS10	regulator of G protein signaling 10 	protein_coding
ENSG00000148925	BTBD10	BTB domain containing 10 	protein_coding
ENSG00000148926	ADM	adrenomedullin 	protein_coding
ENSG00000148935	GAS2	growth arrest specific 2 	protein_coding
ENSG00000148942	SLC5A12	solute carrier family 5 member 12 	protein_coding
ENSG00000148943	LIN7C	lin-7 cell polarity scaffold C 	protein_coding
ENSG00000148948	LRRC4C	leucine rich repeat containing 4C 	protein_coding
ENSG00000148950	IMMP1L	inner mitochondrial membrane peptidase subunit 1 	protein_coding
ENSG00000148965	SAA4	serum amyloid A4, constitutive 	protein_coding
ENSG00000148985	PGAP2	post-GPI attachment to proteins 2 	protein_coding
ENSG00000149016	TUT1	terminal uridylyl transferase 1, U6 snRNA-specific 	protein_coding
ENSG00000149021	SCGB1A1	secretoglobin family 1A member 1 	protein_coding
ENSG00000149043	SYT8	synaptotagmin 8 	protein_coding
ENSG00000149050	ZNF214	zinc finger protein 214 	protein_coding
ENSG00000149054	ZNF215	zinc finger protein 215 	protein_coding
ENSG00000149084	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12 	protein_coding
ENSG00000149089	APIP	APAF1 interacting protein 	protein_coding
ENSG00000149090	PAMR1	peptidase domain containing associated with muscle regeneration 1 	protein_coding
ENSG00000149091	DGKZ	diacylglycerol kinase zeta 	protein_coding
ENSG00000149100	EIF3M	eukaryotic translation initiation factor 3 subunit M 	protein_coding
ENSG00000149115	TNKS1BP1	tankyrase 1 binding protein 1 	protein_coding
ENSG00000149124	GLYAT	glycine-N-acyltransferase 	protein_coding
ENSG00000149131	SERPING1	serpin family G member 1 	protein_coding
ENSG00000149133	OR5F1	olfactory receptor family 5 subfamily F member 1 	protein_coding
ENSG00000149136	SSRP1	structure specific recognition protein 1 	protein_coding
ENSG00000149150	SLC43A1	solute carrier family 43 member 1 	protein_coding
ENSG00000149177	PTPRJ	protein tyrosine phosphatase receptor type J 	protein_coding
ENSG00000149179	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1 	protein_coding
ENSG00000149182	ARFGAP2	ARF GTPase activating protein 2 	protein_coding
ENSG00000149187	CELF1	CUGBP Elav-like family member 1 	protein_coding
ENSG00000149196	HIKESHI	heat shock protein nuclear import factor hikeshi 	protein_coding
ENSG00000149201	CCDC81	coiled-coil domain containing 81 	protein_coding
ENSG00000149212	SESN3	sestrin 3 	protein_coding
ENSG00000149218	ENDOD1	endonuclease domain containing 1 	protein_coding
ENSG00000149231	CCDC82	coiled-coil domain containing 82 	protein_coding
ENSG00000149243	KLHL35	kelch like family member 35 	protein_coding
ENSG00000149256	TENM4	teneurin transmembrane protein 4 	protein_coding
ENSG00000149257	SERPINH1	serpin family H member 1 	protein_coding
ENSG00000149260	CAPN5	calpain 5 	protein_coding
ENSG00000149262	INTS4	integrator complex subunit 4 	protein_coding
ENSG00000149269	PAK1	p21 (RAC1) activated kinase 1 	protein_coding
ENSG00000149273	RPS3	ribosomal protein S3 	protein_coding
ENSG00000149289	ZC3H12C	zinc finger CCCH-type containing 12C 	protein_coding
ENSG00000149292	TTC12	tetratricopeptide repeat domain 12 	protein_coding
ENSG00000149294	NCAM1	neural cell adhesion molecule 1 	protein_coding
ENSG00000149295	DRD2	dopamine receptor D2 	protein_coding
ENSG00000149300	C11orf52	chromosome 11 open reading frame 52 	protein_coding
ENSG00000149305	HTR3B	5-hydroxytryptamine receptor 3B 	protein_coding
ENSG00000149308	NPAT	nuclear protein, coactivator of histone transcription 	protein_coding
ENSG00000149311	ATM	ATM serine/threonine kinase 	protein_coding
ENSG00000149313	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase 	protein_coding
ENSG00000149328	GLB1L2	galactosidase beta 1 like 2 	protein_coding
ENSG00000149346	SLX4IP	SLX4 interacting protein 	protein_coding
ENSG00000149357	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 	protein_coding
ENSG00000149380	P4HA3	prolyl 4-hydroxylase subunit alpha 3 	protein_coding
ENSG00000149403	GRIK4	glutamate ionotropic receptor kainate type subunit 4 	protein_coding
ENSG00000149418	ST14	ST14 transmembrane serine protease matriptase 	protein_coding
ENSG00000149428	HYOU1	hypoxia up-regulated 1 	protein_coding
ENSG00000149435	GGTLC1	gamma-glutamyltransferase light chain 1 	protein_coding
ENSG00000149443	SCP2D1-AS1	SCP2D1 antisense RNA 1 	lncRNA
ENSG00000149451	ADAM33	ADAM metallopeptidase domain 33 	protein_coding
ENSG00000149452	SLC22A8	solute carrier family 22 member 8 	protein_coding
ENSG00000149474	KAT14	lysine acetyltransferase 14 	protein_coding
ENSG00000149476	TKFC	triokinase and FMN cyclase 	protein_coding
ENSG00000149480	MTA2	metastasis associated 1 family member 2 	protein_coding
ENSG00000149483	TMEM138	transmembrane protein 138 	protein_coding
ENSG00000149485	FADS1	fatty acid desaturase 1 	protein_coding
ENSG00000149488	TMC2	transmembrane channel like 2 	protein_coding
ENSG00000149489	ROM1	retinal outer segment membrane protein 1 	protein_coding
ENSG00000149499	EML3	EMAP like 3 	protein_coding
ENSG00000149503	INCENP	inner centromere protein 	protein_coding
ENSG00000149506	ZP1	zona pellucida glycoprotein 1 	protein_coding
ENSG00000149507	OOSP2	oocyte secreted protein 2 	protein_coding
ENSG00000149516	MS4A3	membrane spanning 4-domains A3 	protein_coding
ENSG00000149527	PLCH2	phospholipase C eta 2 	protein_coding
ENSG00000149531	FRG1BP	FSHD region gene 1 family member B, pseudogene 	transcribed_unprocessed_pseudogene
ENSG00000149532	CPSF7	cleavage and polyadenylation specific factor 7 	protein_coding
ENSG00000149534	MS4A2	membrane spanning 4-domains A2 	protein_coding
ENSG00000149541	B3GAT3	beta-1,3-glucuronyltransferase 3 	protein_coding
ENSG00000149547	EI24	EI24 autophagy associated transmembrane protein 	protein_coding
ENSG00000149548	CCDC15	coiled-coil domain containing 15 	protein_coding
ENSG00000149554	CHEK1	checkpoint kinase 1 	protein_coding
ENSG00000149557	FEZ1	fasciculation and elongation protein zeta 1 	protein_coding
ENSG00000149564	ESAM	endothelial cell adhesion molecule 	protein_coding
ENSG00000149571	KIRREL3	kirre like nephrin family adhesion molecule 3 	protein_coding
ENSG00000149573	MPZL2	myelin protein zero like 2 	protein_coding
ENSG00000149575	SCN2B	sodium voltage-gated channel beta subunit 2 	protein_coding
ENSG00000149577	SIDT2	SID1 transmembrane family member 2 	protein_coding
ENSG00000149582	TMEM25	transmembrane protein 25 	protein_coding
ENSG00000149591	TAGLN	transgelin 	protein_coding
ENSG00000149596	JPH2	junctophilin 2 	protein_coding
ENSG00000149599	DUSP15	dual specificity phosphatase 15 	protein_coding
ENSG00000149600	COMMD7	COMM domain containing 7 	protein_coding
ENSG00000149609	C20orf144	chromosome 20 open reading frame 144 	protein_coding
ENSG00000149633	KIAA1755	KIAA1755 	protein_coding
ENSG00000149634	SPATA25	spermatogenesis associated 25 	protein_coding
ENSG00000149635	OCSTAMP	osteoclast stimulatory transmembrane protein 	protein_coding
ENSG00000149636	DSN1	DSN1 component of MIS12 kinetochore complex 	protein_coding
ENSG00000149639	MTCL2	microtubule crosslinking factor 2 	protein_coding
ENSG00000149646	CNBD2	cyclic nucleotide binding domain containing 2 	protein_coding
ENSG00000149651	SPINT4	serine peptidase inhibitor, Kunitz type 4 	protein_coding
ENSG00000149654	CDH22	cadherin 22 	protein_coding
ENSG00000149656	NA	septin 14 (SEPTIN14) pseudogene	transcribed_unprocessed_pseudogene
ENSG00000149657	LSM14B	LSM family member 14B 	protein_coding
ENSG00000149658	YTHDF1	YTH N6-methyladenosine RNA binding protein F1 	protein_coding
ENSG00000149679	CABLES2	Cdk5 and Abl enzyme substrate 2 	protein_coding
ENSG00000149716	LTO1	LTO1 maturation factor of ABCE1 	protein_coding
ENSG00000149735	GPHA2	glycoprotein hormone subunit alpha 2 	protein_coding
ENSG00000149742	SLC22A9	solute carrier family 22 member 9 	protein_coding
ENSG00000149743	TRPT1	tRNA phosphotransferase 1 	protein_coding
ENSG00000149761	NUDT22	nudix hydrolase 22 	protein_coding
ENSG00000149781	FERMT3	FERM domain containing kindlin 3 	protein_coding
ENSG00000149782	PLCB3	phospholipase C beta 3 	protein_coding
ENSG00000149792	MRPL49	mitochondrial ribosomal protein L49 	protein_coding
ENSG00000149798	CDC42EP2	CDC42 effector protein 2 	protein_coding
ENSG00000149806	FAU	FAU ubiquitin like and ribosomal protein S30 fusion 	protein_coding
ENSG00000149809	TM7SF2	transmembrane 7 superfamily member 2 	protein_coding
ENSG00000149823	VPS51	VPS51 subunit of GARP complex 	protein_coding
ENSG00000149922	TBX6	T-box transcription factor 6 	protein_coding
ENSG00000149923	PPP4C	protein phosphatase 4 catalytic subunit 	protein_coding
ENSG00000149925	ALDOA	aldolase, fructose-bisphosphate A 	protein_coding
ENSG00000149926	TLCD3B	TLC domain containing 3B 	protein_coding
ENSG00000149927	DOC2A	double C2 domain alpha 	protein_coding
ENSG00000149929	HIRIP3	HIRA interacting protein 3 	protein_coding
ENSG00000149930	TAOK2	TAO kinase 2 	protein_coding
ENSG00000149932	TMEM219	transmembrane protein 219 	protein_coding
ENSG00000149948	HMGA2	high mobility group AT-hook 2 	protein_coding
ENSG00000149968	MMP3	matrix metallopeptidase 3 	protein_coding
ENSG00000149970	CNKSR2	connector enhancer of kinase suppressor of Ras 2 	protein_coding
ENSG00000149972	CNTN5	contactin 5 	protein_coding
ENSG00000150045	KLRF1	killer cell lectin like receptor F1 	protein_coding
ENSG00000150048	CLEC1A	C-type lectin domain family 1 member A 	protein_coding
ENSG00000150051	MKX	mohawk homeobox 	protein_coding
ENSG00000150054	MPP7	MAGUK p55 scaffold protein 7 	protein_coding
ENSG00000150093	ITGB1	integrin subunit beta 1 	protein_coding
ENSG00000150175	FRMPD2B	FERM and PDZ domain containing 2B (pseudogene) 	transcribed_unprocessed_pseudogene
ENSG00000150201	FXYD4	FXYD domain containing ion transport regulator 4 	protein_coding
ENSG00000150244	TRIM48	tripartite motif containing 48 	protein_coding
ENSG00000150261	OR8K1	olfactory receptor family 8 subfamily K member 1 	protein_coding
ENSG00000150269	OR5M9	olfactory receptor family 5 subfamily M member 9 	protein_coding
ENSG00000150275	PCDH15	protocadherin related 15 	protein_coding
ENSG00000150276	PPIAP26	peptidylprolyl isomerase A pseudogene 26 	transcribed_processed_pseudogene
ENSG00000150281	CTF1	cardiotrophin 1 	protein_coding
ENSG00000150316	CWC15	CWC15 spliceosome associated protein 	protein_coding
ENSG00000150337	FCGR1A	Fc gamma receptor Ia 	protein_coding
